P18509	0.3552	0.05
Q6P521	-0.09541	0.05
E5RJ45	0.1339	0.05
E5RIZ8	0.1922	0.05
H3BTI7	0.1056	0.05
G3V2Q9	0.1402	0.05
Q9ULS6	-0.1323	0.05
H3BTF2	0.1043	0.05
P16519	-0.07812	0.05
A0A6Q8PHL6	-0.1008	0.05
F5GYX3	-0.1167	0.05
C9JY42	0.08643	0.05
O75051	-0.08054	0.05
A2A2I9	0.2241	0.05
F8W9W8	-0.2518	0.05
B1AKP1	0.1811	0.05
C9J6S4	-0.1281	0.05
Q09470	-0.1191	0.05
Q5U743	0.1611	0.05
Q5JPB2	0.1189	0.05
E9PRH6	-0.1141	0.05
A2A2V5	0.1525	0.05
C9JFU1	-0.1396	0.05
C9JCB9	0.1139	0.05
Q5SWX3	-0.07273	0.05
Q8N3Z0	0.2369	0.05
Q9HCU4	-0.07188	0.05
A0A0S2Z478	0.3064	0.05
V9HW83	-0.2016	0.05
B4DYY6	0.08658	0.05
A5JUZ3	-0.1998	0.05
A0A024R9U8	-0.05037	0.05
B5MCF1	0.07287	0.05
Q9NUC0	-0.1585	0.05
F8WBR3	0.08177	0.05
H0YEH8	0.1347	0.05
E9PFT7	-0.06884	0.05
C9JLI1	-0.07268	0.05
Q4W5P6	-0.09674	0.05
F6T4W9	-0.1264	0.05
K7EPE2	-0.09351	0.05
A0A1W2PQW2	-0.1689	0.05
Q5VTS0	0.1122	0.05
D6RAF1	0.1092	0.05
E9PRX9	0.08141	0.05
C9J4F2	-0.0771	0.05
K7EIX4	0.08357	0.05
B4DYW9	0.1338	0.05
D3DX14	-0.2173	0.05
Q5T5E6	-0.08954	0.05
H0YMI5	-0.06166	0.05
Q8TDW5	0.1102	0.05
E7ER08	-0.1496	0.05
E9PP15	0.09194	0.05
A0A024RBD2	-0.1092	0.05
E9PQW8	-0.06892	0.05
Q9BU40	0.1317	0.05
A0A7P0TB32	-0.05828	0.05
A0A140TA73	-0.07772	0.05
O76071	-0.0369	0.05
E9PQY4	-0.1326	0.05
D6RBD3	0.1759	0.05
P25791	-0.1358	0.05
P21462	0.2434	0.05
Q6PJ72	-0.05861	0.05
G3V4H8	0.07721	0.05
A0A2R8YCX9	0.1465	0.05
O75311	0.09235	0.05
E7EX40	0.08824	0.05
E7ES05	0.1299	0.05
P25940	-0.1531	0.05
Q4R9M9	-0.04969	0.05
H0YAX7	0.2958	0.05
G3V4D7	-0.0698	0.05
Q9H841	-0.1118	0.05
A0A024QZY9	0.07557	0.05
Q9UI40	-0.07615	0.05
Q9C0F3	-0.07463	0.05
Q9UHG0	0.1201	0.05
A0A024R3W8	-0.06247	0.05
Q96GL9	0.2116	0.05
P61366	0.2163	0.05
A0A024R5Z3	-0.07937	0.05
Q5VY30	0.1029	0.05
A0A0G2JQ76	0.04713	0.05
Q01094	-0.1068	0.05
F8WET3	0.05569	0.05
A0A087X238	-0.2359	0.05
K7ES41	0.08542	0.05
H7C1N4	0.08152	0.05
H7C1P1	-0.1702	0.05
Q6FGI7	-0.1655	0.05
P20337	0.1217	0.05
E9PQ03	-0.05444	0.05
A0A804HI34	-0.06375	0.05
D6RAP0	0.08957	0.05
P32245	0.1975	0.05
A0A2R8Y685	-0.04227	0.05
A0A024R5U3	-0.06514	0.05
Q5T0Z6	0.1156	0.05
A0A0J9YX94	0.1881	0.05
B1APN9	-0.07101	0.05
A0A024RBC1	0.1723	0.05
