TF,t
OTX2,2.1262042741207083
PAX5,-4.966931538874981
PAX6,-0.21165568965723314
PAX8,-1.65917121678304
PBX2,-0.3376841650847597
PBX3,0.9226064753457908
PDX1,1.000801585115003
PGR,1.825875477650247
PKNOX1,-2.3527736281763207
POU2F1,1.317537130466297
POU2F2,-0.051594567679086614
POU4F2,1.8208781902637197
POU5F1,0.9327540605954908
PPARA,0.08741801801749996
PPARG,1.3982983879855753
PRDM1,2.598305987549264
PRDM14,-12.079344596195451
PROX1,-0.5249501854825761
RARA,0.20157189658849817
RBPJ,4.4506116851764475
REL,0.9497174582186512
RELA,4.15443083959205
RELB,1.9019667000487448
REST,3.532413754982466
RFX1,-2.7668647617730806
RFX2,-2.7055223029199
RFX5,0.7619475196444049
RUNX1,0.3141882356159756
RUNX2,1.1656907420181628
RUNX3,1.415426612310119
RXRA,-0.03431739374505313
SIX2,-1.376817284507396
SIX5,-8.783912535369018
SMAD1,1.6037458460442842
SMAD3,0.49293752005706376
SMAD4,0.7435908047709692
SMAD5,3.9249086132385664
SNAI2,8.27427907494599
SNAPC4,-7.737550735956469
SOX10,0.06845477591210974
SOX11,3.0982914616606188
SOX13,0.2999941333577708
SOX2,0.5417867169492565
SOX6,2.3210835329330535
SOX9,-0.10247693634564904
SP1,-0.5276698472141905
SP2,-2.4230125509550273
SP3,-0.7460478476152598
SP4,-2.545245512889115
SPI1,2.3489488796318683
SPIB,0.859744388137888
SREBF1,-1.6801286251960028
SREBF2,-2.539499381335782
SRF,-0.11979301504737985
STAT1,5.306223001761709
STAT2,2.534980873764837
STAT3,1.5058899103238117
STAT4,-0.6935629165683168
STAT5A,-1.0331386107871032
STAT5B,-0.3910348942282108
STAT6,-0.5326355351574407
TAL1,-1.7029676037686312
TBP,0.3359658095959477
TBX21,-0.0035395090839404507
TCF12,3.5013539287889395
TCF3,-3.2886175764628494
TCF4,4.782579651891184
TCF7,4.242574171660745
TCF7L2,0.8524405941013589
TEAD1,4.451178577016433
TEAD2,-2.651144628328838
TEAD4,-0.6206466438907448
TFAP2A,-0.9613058233916941
TFAP2C,-1.3473820660390723
TFAP4,-6.430886049789223
TFDP1,2.414107283593727
TGIF2,3.33311755762943
THAP1,-10.010895848306733
THAP11,0.7291800461816419
TP53,-0.8532838909411274
TP63,0.08858864403942805
TP73,0.03459598718742257
TWIST1,0.3931880880572597
USF1,-0.680166319135398
USF2,0.8280707729733788
VDR,-0.30594326123524257
WT1,1.4819350554411628
XBP1,0.19170279935787315
YY1,0.7974078380649873
ZBED1,-0.8512751551067564
ZBTB11,4.195582300561561
ZBTB33,2.279632988505957
ZBTB7A,14.395289358407853
ZEB1,1.7001449340533767
ZEB2,-2.2947109764840965
ZFX,0.12926144636947437
ZKSCAN1,-5.4228022180528574
ZNF143,-3.9937892629020952
ZNF217,2.2616683369965784
ZNF24,1.3805900873540702
ZNF263,22.742424237583087
ZNF274,-2.630644750385221
ZNF384,0.6121667684568625
ZNF592,-4.039149516617818
ZNF639,-3.752059419480184
ZNF740,-5.473316374965877
