TF,t
AHR,0.2791209707423887
AR,1.0867002989742043
ARID2,3.8011664851478546
ARID3A,-3.5652451056395478
ARNT,3.6816235660229917
ARNTL,-1.6970171657020268
ASCL1,-2.634462324566156
ATF1,1.5889021918540345
ATF2,-1.194729825618417
ATF3,0.988998929811689
ATF4,-2.3155160626966946
ATF6,2.45216625185168
ATF7,0.6710485306006049
BACH1,-0.38561497644402765
BACH2,0.6492245718013663
BATF,1.8429374825985105
BCL11A,0.7266448675366417
BCL6,0.49423746066103097
BHLHE22,-0.7520492688783048
BHLHE40,4.219021244772624
CDX2,-0.2839786778351625
CEBPA,-0.9845701858201797
CEBPB,-0.5078150742292865
CEBPD,-1.059876625490218
CEBPG,2.2495763477642767
CLOCK,-1.0788548664557176
CREB1,1.2574365354179429
CREB3,-0.1594402245537106
CREB3L1,0.33859758351163827
CREM,-0.5900147662858636
CTCF,0.2015779043856649
CTCFL,-6.060292754089449
CUX1,-2.3791875545603074
DUX4,2.8980871373124253
E2F1,0.8765337749142698
E2F2,-1.6220841064754072
E2F3,-1.686966032341185
E2F4,0.8304920160768349
E2F5,-0.8692041307961449
E2F6,3.8808012350586254
E2F7,-0.35460768116554287
EBF1,-1.4004195375215895
EGR1,-1.4444463650632466
EHF,0.7183590651232634
ELF1,0.4394949960748279
ELF3,1.654184928670529
ELF5,2.0994778817971205
ELK1,-2.148095621509075
ELK4,2.596786767423343
EOMES,2.0622105985806125
EPAS1,-1.3260081686960516
ERG,-1.5385861967939571
ESR1,-0.9295580556809518
ESR2,-1.29943736359722
ESRRA,-1.2003049208349614
ETS1,-1.1514582202925039
ETS2,-0.007048754056449791
ETV1,2.4659046828549966
ETV4,-0.06959735387970578
FLI1,-0.3160696772702488
FOS,0.4578254679334127
FOSL1,-0.7714907776139757
FOSL2,-0.8492622376906639
FOXA1,-1.7110708904543321
FOXA2,1.6346529539496166
FOXJ2,1.6517309044964437
FOXK2,-0.7853549384348977
FOXL2,-0.2925763824423526
FOXM1,-0.1668654306890547
FOXO1,-0.08868317520732039
FOXO3,-0.15178869578300244
FOXO4,0.18907135654967408
FOXP1,-4.247696613628711
FOXP2,-1.016709375975088
GABPA,2.7299453600272723
GATA1,-1.3210332444492
GATA2,-1.7945402756423652
GATA3,3.5682724432137847
GATA4,-1.251986198391316
GATA6,1.55085265784016
GFI1B,1.1637157482508729
GLI2,-1.426857178573513
GRHL2,0.6086162803210152
HBP1,-2.6184141779115615
HHEX,0.20068820150707967
HIF1A,-1.9804682153909907
HINFP,0.908731585824061
HMBOX1,-1.3406444406669518
HNF1A,0.1138634244233642
HNF1B,1.3204419856673333
HNF4A,-0.8874080739969626
HNF4G,-2.1991138906303576
HOXA9,0.6653099745470538
HOXB13,4.476830528353737
HSF1,-2.1873731508115095
IKZF1,0.12205753808563959
IRF1,1.1781065487246318
IRF2,0.5197740345941508
IRF3,-6.549687544391363
IRF4,1.933105130340902
IRF9,-1.7844399562082103
JUN,-0.10555094618316592
JUNB,-0.5098678785187004
JUND,-1.8241854282084364
KDM5B,-1.0638770438784202
KLF1,-4.287079419611683
KLF13,3.4785706172329505
KLF3,4.129141732942687
KLF4,0.11056588359182379
KLF5,-6.45872229522345
KLF6,-1.3164510645810568
KLF9,-4.5822435599352
LEF1,0.43899576986260896
LHX2,1.8087709714923503
LYL1,-3.10216585621615
MAF,-1.8377378700182436
MAFB,1.8159582155012792
MAFF,1.2756901673138343
MAFG,0.21595985684625196
MAFK,1.4149214638886842
MAX,-2.9973675464933742
MAZ,-6.157611520422531
MBD1,2.2254408184527246
MBD2,-5.00048998643703
MEF2A,4.601796912453683
MEF2B,0.24000653047413573
MEF2C,1.6646071377593203
MEIS1,3.172899133913653
MEIS2,2.8178027982333247
MITF,0.1829500747606188
MNT,4.672598795758893
MXI1,2.3934855757615394
MYB,-1.397727210764942
MYBL2,2.213717060468811
MYC,-1.096229298700708
MYCN,-0.49348659994124144
MYOD1,-3.1246556387574542
"NANOG",3.4589001348266626
NCOA1,3.0946023867151182
NCOA2,2.1778644124957687
NCOA3,2.466499992439954
